id,name,category,description,instructions,prep_time,ingredients
1,Spaghetti Bolognese,Pasta,Classic Italian meat sauce pasta.,Cook pasta. Brown minced beef add tomato sauce simmer 20 min. Serve over pasta.,30,Spaghetti:200:g:Grains|Minced Beef:150:g:Proteins|Tomato Sauce:200:ml:Vegetables|Onion:1::Vegetables|Garlic:2:cloves:Vegetables|Olive Oil:2:tbsp:Other|Parmesan:30:g:Dairy
2,Chicken Stir-Fry,Chicken,Quick and healthy Asian-style stir-fry.,Slice chicken. Stir-fry with vegetables and soy sauce for 10-12 min. Serve with rice.,20,Chicken Breast:200:g:Proteins|Bell Pepper:1::Vegetables|Broccoli:150:g:Vegetables|Soy Sauce:3:tbsp:Other|Garlic:2:cloves:Vegetables|Ginger:1:tsp:Other|Rice:180:g:Grains
3,Avocado Toast,Breakfast,Simple and nutritious breakfast or snack.,Toast bread. Mash avocado with lemon juice. Spread on toast season to taste.,10,Bread:2:slices:Grains|Avocado:1::Vegetables|Lemon Juice:1:tbsp:Other|Salt:1:pinch:Other|Chili Flakes:0.5:tsp:Other
4,Greek Salad,Salad,Fresh Mediterranean salad.,Chop vegetables. Combine with olives and feta. Drizzle with olive oil and oregano.,15,Tomato:2::Vegetables|Cucumber:1::Vegetables|Red Onion:0.5::Vegetables|Feta Cheese:80:g:Dairy|Olives:50:g:Other|Olive Oil:2:tbsp:Other|Oregano:1:tsp:Other
5,Vegetable Curry,Vegetarian,Rich and warming Indian-inspired curry.,Saute onion and garlic. Add curry paste chickpeas vegetables and coconut milk. Simmer 20 min.,35,Chickpeas:400:g:Proteins|Coconut Milk:400:ml:Dairy|Spinach:100:g:Vegetables|Tomato:2::Vegetables|Onion:1::Vegetables|Curry Paste:2:tbsp:Other|Rice:200:g:Grains
6,Pancakes,Breakfast,Fluffy breakfast pancakes.,Mix flour egg milk into batter. Cook on pan until bubbles form flip cook 1 more minute.,20,Flour:200:g:Grains|Egg:2::Proteins|Milk:200:ml:Dairy|Butter:30:g:Dairy|Sugar:2:tbsp:Other
7,Grilled Salmon,Seafood,Simple and healthy grilled salmon fillet.,Season salmon. Grill 4 min each side. Serve with lemon and steamed vegetables.,20,Salmon Fillet:200:g:Proteins|Lemon:1::Other|Garlic:1:clove:Vegetables|Broccoli:200:g:Vegetables|Olive Oil:1:tbsp:Other
8,Tomato Soup,Soup,Classic creamy tomato soup.,Saute onion add canned tomatoes and broth. Simmer 15 min blend until smooth add cream.,25,Canned Tomatoes:400:g:Vegetables|Onion:1::Vegetables|Vegetable Broth:500:ml:Other|Heavy Cream:100:ml:Dairy|Garlic:2:cloves:Vegetables|Basil:1:tsp:Other
9,Omelette,Breakfast,Quick protein-packed omelette.,Beat eggs. Pour into hot pan. Add fillings on one half fold over. Cook 1 more minute.,10,Egg:3::Proteins|Cheese:40:g:Dairy|Bell Pepper:0.5::Vegetables|Mushrooms:60:g:Vegetables|Butter:10:g:Dairy
10,Bean Tacos,Mexican,Quick vegetarian tacos with black beans.,Heat beans with cumin and chili. Warm tortillas. Assemble with toppings.,15,Black Beans:400:g:Proteins|Tortillas:4::Grains|Avocado:1::Vegetables|Tomato:1::Vegetables|Cheese:50:g:Dairy|Cumin:1:tsp:Other|Lime:1::Other
11,Margherita Pizza,Italian,Classic homemade pizza with tomato and mozzarella.,Roll out dough. Spread tomato sauce. Add mozzarella. Bake at 220C for 15 min.,40,Pizza Dough:250:g:Grains|Tomato Sauce:150:ml:Vegetables|Mozzarella:125:g:Dairy|Basil:5:leaves:Other|Olive Oil:1:tbsp:Other
12,Lentil Soup,Soup,Hearty and filling lentil soup.,Saute onion and garlic. Add lentils and broth. Simmer 25 min until soft. Season to taste.,30,Red Lentils:200:g:Proteins|Onion:1::Vegetables|Garlic:2:cloves:Vegetables|Vegetable Broth:800:ml:Other|Cumin:1:tsp:Other|Olive Oil:2:tbsp:Other